me ajudar,ajuda-especialista
nao quero falar com robo,ajuda-especialista
conversar com pessoa,ajuda-especialista
conversar com uma pessoa,ajuda-especialista
auxiliar,ajuda-especialista
orientar,ajuda-especialista
atendente,ajuda-especialista
atender,ajuda-especialista
atendimento,ajuda-especialista
ajudar,ajuda-especialista
ajuda,ajuda-especialista
me ajude,ajuda-especialista
ter orientacao,ajuda-especialista
preciso de ajuda,ajuda-especialista
auxilio,ajuda-especialista
ser atendido,ajuda-especialista
ser atendida,ajuda-especialista
orientada,ajuda-especialista
orientado,ajuda-especialista
ser orientada,ajuda-especialista
ser orientado,ajuda-especialista
falar com atendente,ajuda-especialista
quero falar com alguem,ajuda-especialista
socorro,ajuda-especialista
profissional,ajuda-especialista
me oriente,ajuda-especialista
beleza,concordar
afirmativo,concordar
sim,concordar
ta bom,concordar
queria,concordar
gostaria,concordar
quero,concordar
ok,concordar
pode ser,concordar
concordo,concordar
ta,concordar
por favor,concordar
positivo,concordar
certo,concordar
ser ouvida,desabafo
conversar,desabafo
ser ouvido,desabafo
ser escutada,desabafo
escutar,desabafo
ouvir,desabafo
falar sobre isso,desabafo
me oṳa,desabafo
conversa comigo,desabafo
contar algo,desabafo
falar sobre algo,desabafo
desabafo,desabafo
desabafando,desabafo
ser escutado,desabafo
desabafar,desabafo
tchau,despedida
e so isso,despedida
xau,despedida
ate,despedida
adeus,despedida
ate mais,despedida
nao tenho certeza,incerto
sei la,incerto
qualquer coisa,incerto
talvez,incerto
tanto faz,incerto
que seja,incerto
mais ou menos,incerto
qualquer um,incerto
nao sei,incerto
nao gostaria,negar
dispensar,negar
negativo,negar
isso e desconfortavel,negar
pulo,negar
passo,negar
dispenso,negar
dispensado,negar
prefiro nao,negar
fico desconfortavel,negar
pular,negar
nao quero,negar
nao faz isso,negar
nao quero falar,negar
